Serie 13-letras,Letra-pregunta,Posición,Respuesta,RT
"['F', 'D', 'X', 'G', 'L', 'V', 'K', 'Q', 'B', 'T', 'W', 'J', 'C']",X,3,0,2.7523016000632197
"['D', 'P', 'S', 'N', 'V', 'B', 'W', 'Q', 'J', 'L', 'G', 'Z', 'C']",V,5,0,1.5360364000080153
"['C', 'W', 'V', 'Y', 'B', 'S', 'Q', 'P', 'H', 'M', 'T', 'J', 'L']",S,6,1,1.0534711999353021
"['R', 'Z', 'N', 'F', 'X', 'D', 'S', 'H', 'T', 'P', 'G', 'J', 'W']",J,12,1,1.714778200024739
"['B', 'M', 'V', 'N', 'Q', 'S', 'G', 'R', 'X', 'T', 'F', 'P', 'Z']",G,7,1,1.046009000041522
"['S', 'P', 'H', 'X', 'J', 'N', 'W', 'D', 'Y', 'F', 'C', 'Z', 'T']",S,1,1,0.8852810000535101
"['Y', 'Z', 'J', 'W', 'D', 'L', 'V', 'K', 'Q', 'R', 'G', 'N', 'F']",X,3,2,0.9482673000311479
"['M', 'Z', 'X', 'S', 'Q', 'B', 'L', 'V', 'P', 'W', 'T', 'D', 'Y']",Q,5,0,1.1497416000347584
"['N', 'H', 'J', 'K', 'C', 'Y', 'V', 'T', 'D', 'M', 'B', 'F', 'Z']",K,4,1,1.550041600014083
"['F', 'T', 'J', 'G', 'K', 'C', 'X', 'S', 'Y', 'L', 'Q', 'W', 'M']",B,3,2,1.1657131999963894
"['S', 'C', 'T', 'N', 'R', 'D', 'V', 'K', 'Z', 'J', 'G', 'W', 'F']",K,8,1,1.0649261999642476
"['F', 'M', 'G', 'Y', 'Q', 'W', 'L', 'R', 'N', 'V', 'C', 'Z', 'H']",R,8,0,1.4138012999901548
"['G', 'T', 'P', 'B', 'S', 'X', 'K', 'J', 'C', 'H', 'R', 'W', 'L']",Y,3,2,1.1722972000716254
"['D', 'N', 'L', 'P', 'V', 'Q', 'Z', 'S', 'G', 'R', 'C', 'H', 'Y']",J,3,2,1.3032705000368878
"['J', 'G', 'B', 'S', 'L', 'Y', 'Q', 'H', 'F', 'V', 'D', 'W', 'M']",M,13,1,1.29725919989869
"['N', 'X', 'L', 'Y', 'M', 'R', 'J', 'F', 'C', 'H', 'B', 'K', 'S']",T,3,2,1.3227330000372604
"['R', 'Y', 'M', 'K', 'T', 'L', 'H', 'Q', 'C', 'B', 'P', 'S', 'V']",J,3,2,1.109774800017476
"['K', 'B', 'Z', 'S', 'V', 'L', 'F', 'P', 'R', 'G', 'J', 'Q', 'H']",T,3,2,1.3008155999705195
"['X', 'B', 'H', 'K', 'W', 'D', 'N', 'S', 'L', 'T', 'P', 'J', 'F']",K,4,0,1.8059930000454187
"['X', 'K', 'W', 'G', 'L', 'C', 'P', 'Z', 'R', 'S', 'F', 'M', 'N']",P,7,0,1.231187600060366
"['N', 'C', 'H', 'X', 'L', 'P', 'S', 'B', 'K', 'Y', 'Z', 'J', 'F']",K,9,1,1.112424699938856
"['K', 'M', 'Z', 'C', 'Q', 'X', 'Y', 'R', 'P', 'T', 'L', 'G', 'V']",L,11,1,1.2057163999415934
"['V', 'P', 'M', 'G', 'S', 'L', 'C', 'D', 'F', 'R', 'H', 'N', 'Z']",R,10,0,1.5399924999801442
"['H', 'P', 'D', 'C', 'G', 'Y', 'N', 'Z', 'K', 'M', 'X', 'T', 'W']",Y,6,1,1.1420590999769047
"['Q', 'G', 'T', 'C', 'B', 'R', 'Z', 'H', 'D', 'Y', 'P', 'W', 'V']",P,11,1,1.5762907000025734
"['Y', 'P', 'M', 'K', 'F', 'B', 'T', 'V', 'L', 'C', 'R', 'Q', 'N']",L,9,0,1.3095608999719843
"['Q', 'S', 'V', 'Z', 'R', 'D', 'N', 'X', 'B', 'J', 'C', 'T', 'L']",T,12,0,1.0500960999634117
"['N', 'H', 'R', 'C', 'W', 'K', 'L', 'J', 'P', 'M', 'X', 'V', 'S']",H,2,0,1.5497065000236034
"['H', 'D', 'F', 'B', 'J', 'W', 'G', 'Z', 'T', 'R', 'V', 'C', 'N']",P,3,2,1.312844799947925
"['D', 'T', 'H', 'X', 'Y', 'P', 'F', 'Z', 'S', 'M', 'B', 'N', 'C']",M,10,0,0.8700379999354482
"['R', 'L', 'Z', 'G', 'S', 'Y', 'B', 'D', 'H', 'K', 'F', 'W', 'V']",Z,3,0,0.9714024000568315
"['T', 'B', 'Z', 'K', 'V', 'N', 'Q', 'P', 'F', 'R', 'M', 'C', 'J']",J,13,0,1.0048654000274837
"['S', 'G', 'L', 'T', 'Q', 'V', 'Y', 'J', 'M', 'D', 'K', 'W', 'H']",G,2,0,1.0525730999652296
"['L', 'M', 'F', 'X', 'H', 'W', 'G', 'S', 'N', 'Y', 'J', 'V', 'D']",K,3,3,0.6321904000360519
"['B', 'T', 'N', 'H', 'C', 'F', 'K', 'X', 'V', 'D', 'L', 'Q', 'P']",B,1,0,4.708253900054842
