Serie 10-letras,Letra-pregunta,Posición,Respuesta,RT
"['R', 'P', 'W', 'L', 'C', 'T', 'J', 'F', 'N', 'S']",D,3,2,1.6725040000164881
"['W', 'D', 'J', 'X', 'T', 'G', 'P', 'N', 'S', 'V']",J,3,1,1.1339460000162944
"['F', 'Q', 'S', 'P', 'G', 'M', 'Z', 'W', 'L', 'R']",J,3,2,1.2885055999504402
"['X', 'D', 'L', 'G', 'K', 'B', 'C', 'Y', 'N', 'F']",D,2,0,1.4882929000305012
"['F', 'V', 'B', 'Y', 'M', 'H', 'R', 'J', 'T', 'L']",M,5,1,1.364299500011839
"['Q', 'Z', 'W', 'G', 'L', 'R', 'T', 'V', 'Y', 'K']",R,6,1,1.56640020001214
"['Y', 'R', 'W', 'Q', 'C', 'D', 'T', 'Z', 'X', 'S']",J,3,2,0.89003629994113
"['C', 'F', 'Z', 'S', 'V', 'D', 'L', 'Y', 'G', 'Q']",R,3,2,1.2583366999169812
"['H', 'M', 'V', 'Q', 'W', 'L', 'T', 'K', 'R', 'Y']",Q,4,1,1.1274552999529988
"['N', 'K', 'R', 'F', 'M', 'V', 'H', 'T', 'C', 'L']",H,7,1,0.9211911000311375
"['T', 'Q', 'B', 'Y', 'V', 'S', 'W', 'D', 'F', 'P']",K,3,2,1.034982300014235
"['K', 'Q', 'H', 'F', 'N', 'G', 'W', 'C', 'X', 'L']",G,6,1,0.8913787000346929
"['D', 'S', 'T', 'R', 'Y', 'H', 'B', 'W', 'Q', 'L']",D,1,1,2.3185170999495313
"['S', 'L', 'G', 'Q', 'Y', 'T', 'Z', 'H', 'X', 'D']",Q,4,1,3.037057299981825
"['P', 'Y', 'B', 'H', 'Z', 'X', 'Q', 'S', 'F', 'N']",F,9,1,0.8973756999475881
"['X', 'G', 'T', 'H', 'Y', 'K', 'D', 'J', 'L', 'N']",N,10,0,1.0896391000133008
"['P', 'T', 'C', 'Z', 'Q', 'X', 'J', 'K', 'R', 'F']",N,3,2,1.5999663999537006
"['L', 'C', 'Y', 'Q', 'D', 'P', 'B', 'G', 'M', 'K']",X,3,2,0.40609559998847544
"['B', 'G', 'R', 'C', 'N', 'Y', 'L', 'J', 'W', 'X']",B,1,0,1.178797599975951
"['V', 'Q', 'L', 'H', 'W', 'Y', 'N', 'S', 'F', 'J']",Q,2,0,1.1846961999544874
"['S', 'T', 'K', 'J', 'W', 'V', 'C', 'Z', 'Q', 'Y']",Y,10,1,0.8269355000229552
"['L', 'C', 'X', 'H', 'M', 'G', 'J', 'B', 'S', 'K']",S,9,1,0.6208979000803083
"['N', 'C', 'G', 'X', 'F', 'D', 'M', 'S', 'Z', 'J']",S,8,1,0.591429500025697
"['B', 'W', 'J', 'P', 'Z', 'V', 'S', 'Y', 'M', 'X']",Z,5,1,1.6075239999918267
"['Q', 'G', 'C', 'T', 'Y', 'L', 'W', 'N', 'V', 'D']",H,3,2,0.9672468999633566
"['V', 'T', 'Q', 'N', 'S', 'H', 'R', 'W', 'Z', 'G']",C,3,3,4.2267625000094995
"['V', 'P', 'G', 'Q', 'N', 'K', 'H', 'S', 'Y', 'L']",H,7,1,0.949680200079456
"['M', 'G', 'R', 'T', 'H', 'L', 'P', 'N', 'B', 'F']",Z,3,2,3.1659621000289917
"['C', 'K', 'X', 'N', 'B', 'Q', 'H', 'D', 'P', 'Z']",D,8,1,0.8497547000879422
"['T', 'G', 'Q', 'N', 'P', 'F', 'K', 'V', 'C', 'X']",Q,3,0,0.9274302000412717
